,meaningful_ratio,meaningful_ratio,total_steps,total_steps,total_reward,total_reward,won,won
,mean,std,mean,std,mean,std,mean,count
game_level,,,,,,,,
aliens-lvl0,0.653,0.095,542.4,246.074,39.267,20.766,0.333,15
aliens-lvl1,0.598,0.055,448.467,214.706,37.733,21.953,0.333,15
aliens-lvl2,0.628,0.094,515.6,234.09,40.0,22.383,0.333,15
aliens-lvl3,0.581,0.077,486.533,228.271,25.8,14.737,0.2,15
aliens-lvl4,0.553,0.097,502.467,175.348,31.2,20.772,0.333,15
boulderdash-lvl0,0.312,0.121,1000.4,885.376,4.667,4.386,0.0,15
boulderdash-lvl1,0.358,0.187,656.867,738.312,7.933,3.936,0.0,15
boulderdash-lvl2,0.307,0.131,834.333,656.522,6.933,4.891,0.0,15
boulderdash-lvl3,0.313,0.198,964.4,909.85,5.2,4.395,0.0,15
boulderdash-lvl4,0.293,0.132,948.533,815.117,9.867,4.103,0.0,15
escape-lvl0,0.605,0.21,109.733,249.333,0.0,0.0,0.533,15
escape-lvl1,0.425,0.146,237.667,381.117,0.0,0.0,0.2,15
escape-lvl2,0.379,0.09,690.0,426.801,0.0,0.0,0.0,14
escape-lvl3,0.587,0.26,107.333,248.98,0.0,0.0,0.267,15
escape-lvl4,0.371,0.115,805.533,359.254,0.0,0.0,0.0,15
realsokoban-lvl0,0.381,0.126,1998.0,0.0,0.786,1.051,0.0,14
realsokoban-lvl1,0.356,0.085,1998.0,0.0,0.133,0.352,0.0,15
realsokoban-lvl2,0.373,0.076,1998.0,0.0,1.333,1.952,0.0,15
realsokoban-lvl3,0.282,0.095,1998.0,0.0,0.231,0.439,0.0,13
realsokoban-lvl4,0.301,0.106,1998.0,0.0,0.0,0.0,0.0,14
sokoban-lvl0,0.423,0.086,1998.0,0.0,0.071,0.267,0.0,14
sokoban-lvl1,0.522,0.174,1481.8,886.102,0.733,0.884,0.267,15
sokoban-lvl2,0.351,0.259,1696.769,735.301,0.615,0.87,0.154,13
sokoban-lvl3,0.263,0.124,1998.0,0.0,0.571,0.756,0.0,14
sokoban-lvl4,0.497,0.297,1337.667,966.635,1.0,0.0,0.333,15
zelda-lvl0,0.046,0.042,322.667,491.187,0.533,0.516,0.333,15
zelda-lvl1,0.059,0.073,223.0,238.386,0.357,0.497,0.143,14
zelda-lvl2,0.047,0.047,127.667,101.944,0.333,0.488,0.267,15
zelda-lvl3,0.049,0.047,51.929,42.585,0.5,0.855,0.286,14
zelda-lvl4,0.075,0.05,201.867,189.166,0.2,0.414,0.2,15
