game,mode,dual_reward,meaningful_step_ratio,winrate,total_steps,total_reward
aliens,contextual,True,0.5837435398902123,0.3333333333333333,10.0,16.5
aliens,zero-shot,True,0.39383208309181966,0.3333333333333333,10.0,38.833333333333336
boulderdash,contextual,True,0.5223343091775144,0.0,10.0,3.4285714285714284
boulderdash,zero-shot,True,0.3764237519996754,0.0,10.0,5.555555555555555
escape,contextual,True,0.31312625250500997,0.0,10.0,0.0
escape,zero-shot,True,0.17585170340681364,0.0,10.0,0.0
realsokoban,contextual,True,0.1321321321321321,0.0,10.0,2.5
realsokoban,zero-shot,True,0.3212212212212212,0.0,10.0,2.8
sokoban,contextual,True,0.4375804375804375,0.5,10.0,1.0
sokoban,zero-shot,True,0.24199199199199195,0.0,10.0,1.0
zelda,contextual,True,0.031322729299755096,0.16666666666666666,10.0,0.3333333333333333
zelda,zero-shot,True,0.08287753827839504,0.16666666666666666,10.0,0.16666666666666666
